crop,year,season,state,area,production,fertilizer,pesticide,yield,N,P,K,pH,avg_temp_c,total_rainfall_mm,avg_humidity_percent
maize,1997,kharif,Assam,19216.0,14721,1828786.72,5956.96,0.615652174,60,18,38,5.8,22.41,1468.92,70.71
potato,1997,whole year,Assam,75259.0,671871,7162399.03,23330.29,7.561304348,60,18,38,5.8,22.41,1468.92,70.71
rice,1997,autumn,Assam,607358.0,398311,57802260.86,188280.98,0.780869565,60,18,38,5.8,22.41,1468.92,70.71
rice,1997,summer,Assam,174974.0,209623,16652275.58,54241.94,1.060434783,60,18,38,5.8,22.41,1468.92,70.71
rice,1997,winter,Assam,1743321.0,1647296,165911859.6,540429.51,0.941304348,60,18,38,5.8,22.41,1468.92,70.71
sugarcane,1997,kharif,Assam,31318.0,1287451,2980534.06,9708.58,41.89695652,60,18,38,5.8,22.41,1468.92,70.71
wheat,1997,rabi,Assam,84698.0,110054,8060708.66,26256.38,1.25952381,60,18,38,5.8,22.41,1468.92,70.71
bajra,1997,kharif,Karnataka,301149.0,132056,28660350.33,93356.19,0.404545455,72,42,25,6.9,23.55,894.16,69.61
bajra,1997,summer,Karnataka,820.0,662,78039.4,254.2,0.81,72,42,25,6.9,23.55,894.16,69.61
maize,1997,kharif,Karnataka,502797.0,1391132,47851190.49,155867.07,2.687777778,72,42,25,6.9,23.55,894.16,69.61
maize,1997,rabi,Karnataka,48844.0,98932,4648483.48,15141.64,1.98,72,42,25,6.9,23.55,894.16,69.61
maize,1997,summer,Karnataka,9730.0,20893,926004.1,3016.3,2.165714286,72,42,25,6.9,23.55,894.16,69.61
rice,1997,kharif,Karnataka,1031530.0,2340493,98170710.1,319774.3,2.2335,72,42,25,6.9,23.55,894.16,69.61
rice,1997,rabi,Karnataka,53889.0,109350,5128616.13,16705.59,2.073846154,72,42,25,6.9,23.55,894.16,69.61
rice,1997,summer,Karnataka,268044.0,762759,25509747.48,83093.64,2.829444444,72,42,25,6.9,23.55,894.16,69.61
sugarcane,1997,whole year,Karnataka,308857.0,28999269,29393920.69,95745.67,91.74736842,72,42,25,6.9,23.55,894.16,69.61
wheat,1997,rabi,Karnataka,250698.0,118512,23858928.66,77716.38,0.548333333,72,42,25,6.9,23.55,894.16,69.61
maize,1997,kharif,Meghalaya,17175.0,24878,1634544.75,5324.25,1.444285714,52,16,33,5.6,17.16,1954.46,77.31
potato,1997,whole year,Meghalaya,20764.0,200509,1976109.88,6436.84,8.641428571,52,16,33,5.6,17.16,1954.46,77.31
rice,1997,kharif,Meghalaya,105170.0,150101,10009028.9,32602.7,1.378571429,52,16,33,5.6,17.16,1954.46,77.31
sugarcane,1997,whole year,Meghalaya,82.0,225,7803.94,25.42,2.352,52,16,33,5.6,17.16,1954.46,77.31
